,Game,Lowest Offer,Second Offer,Price Difference
0,Double Dragon Trilogy,0.75,0.8,0.050000000000000044
1,Little Big Adventure 2,0.9,0.98,0.07999999999999996
2,Little Big Adventure - Enhanced Edition,1.99,2.0,0.010000000000000009
3,Wandersong,1.0,1.19,0.18999999999999995
4,Vikings - Wolves of Midgard,9.88,9.89,0.009999999999999787
5,Finding Paradise,3.0,3.35,0.3500000000000001
6,Karateka,0.65,0.67,0.020000000000000018
7,Monster Prom,0.5,0.95,0.44999999999999996
8,The Journey Down: Chapter Three,1.0,1.3,0.30000000000000004
9,I am not a Monster,0.5,0.5,0.0
10,Do Not Feed the Monkeys,1.0,1.25,0.25
11,Raiden Legacy,1.5,1.55,0.050000000000000044
12,Europa Universalis III Complete,2.15,2.19,0.040000000000000036
13,ESport Manager,1.1,1.15,0.04999999999999982
14,Impact Winter,2.89,2.9,0.009999999999999787
15,Witch's Pranks: Frog's Fortune Collector's Edition,0.5,0.5,0.0
16,Small World 2,4.38,4.39,0.009999999999999787
17,Sea Legends: Phantasmal Light Collector's Edition,0.5,0.5,0.0
18,Planetary Annihilation: TITANS,14.38,16.0,1.6199999999999992
19,Slime-san,1.0,1.0,0.0
20,Reflex (Easy game),0.5,0.7,0.19999999999999996
21,Shadowrun Returns,0.79,0.8,0.010000000000000009
22,Brigade E5: New Jagged Union,3.24,3.25,0.009999999999999787
23,Darkest Hunters,1.0,1.0,0.0
24,Sid Meier's Civilization III Complete,0.7,0.8,0.10000000000000009
25,Access Denied,4.4,5.99,1.5899999999999999
26,Overcooked,10.0,19.89,9.89
27,Find your way,1.4,2.8,1.4
28,Dungeons 3,7.95,8.44,0.4899999999999993
29,Men of War: Condemned Heroes,0.88,0.89,0.010000000000000009
30,ENSLAVED: Odyssey to the West Premium Edition,1.49,1.5,0.010000000000000009
31,SimplePlanes,1.39,1.4,0.010000000000000009
32,Time Mysteries: Inheritance - Remastered,1.1,1.15,0.04999999999999982
33,Portal Knights,22.0,27.0,5.0
34,Crazy Cars - Hit the Road,1.4,1.5,0.10000000000000009
35,Tangledeep,3.5,3.75,0.25
36,BlackSoul: Extended Edition,0.8,0.9,0.09999999999999998
37,Wick,0.7,1.3,0.6000000000000001
38,This War of Mine,12.5,12.78,0.27999999999999936
39,The Black Death,5.0,7.89,2.8899999999999997
40,Tangled Up!,1.2,1.49,0.29000000000000004
41,Slain: Back from Hell,2.0,3.08,1.08
42,Star Wars: Knights of the Old Republic,3.95,4.0,0.04999999999999982
43,Offworld Trading Company: Jupiter's Forge Expansion Pack,6.42,6.43,0.009999999999999787
44,No Turning Back: The Pixel Art Action-Adventure Roguelike,0.74,0.75,0.010000000000000009
45,Cursed Castilla (Maldita Castilla EX),0.8,0.99,0.18999999999999995
46,The Warlock of Firetop Mountain,1.0,1.0,0.0
47,Yooka-Laylee,9.0,9.0,0.0
48,Bear With Me - Collector's Edition,0.86,0.87,0.010000000000000009
49,Fractal,2.83,2.84,0.009999999999999787
50,Wizard of Legend,8.5,9.99,1.4900000000000002
51,A Fistful of Gun,1.74,1.75,0.010000000000000009
52,THOTH,0.89,0.9,0.010000000000000009
53,Kero Blaster,0.89,0.9,0.010000000000000009
54,Gunmetal Arcadia Zero,0.94,0.95,0.010000000000000009
55,Eon Altar: Episode 1,0.95,0.99,0.040000000000000036
56,Medal of Honor,8.48,8.49,0.009999999999999787
57,Random Access Murder,0.98,0.99,0.010000000000000009
58,NeuroVoider,0.5,0.5,0.0
59,Pathologic Classic HD,0.5,0.86,0.36
60,Interplanetary: Enhanced Edition,0.5,0.79,0.29000000000000004
61,Acceleration of SUGURI 2,0.5,0.5,0.0
62,Bastion,3.0,3.0,0.0
63,Splasher,0.5,0.5,0.0
64,The Norwood Suite,0.5,0.5,0.0
65,Fahrenheit: Indigo Prophecy Remastered,2.5,2.99,0.4900000000000002
66,HIVESWAP: Act 1,0.5,0.5,0.0
67,Orwell: Keeping an Eye On You,0.5,0.5,0.0
68,Eterium,0.5,0.5,0.0
69,HackyZack,0.5,0.5,0.0
70,Crashbots,3.5,3.95,0.4500000000000002
71,Serial Cleaner,2.5,2.7,0.20000000000000018
72,Bunker - The Underground Game,2.4,2.5,0.10000000000000009
73,Proto Raider,2.5,2.99,0.4900000000000002
74,Void Invaders,2.7,2.79,0.08999999999999986
75,Dustoff Heli Rescue,1.3,1.4,0.09999999999999987
76,Gray Matter,2.99,3.0,0.009999999999999787
77,Shadow Blade: Reload,3.49,3.5,0.009999999999999787
78,Everything,9.5,9.9,0.40000000000000036
79,LARA CROFT AND THE TEMPLE OF OSIRIS,9.5,9.9,0.40000000000000036
80,Endless Fables: The Minotaur's Curse,3.4,4.0,0.6000000000000001
81,Stay Dead Evolution,2.0,2.0,0.0
82,Gloom: Digital Edition,1.0,1.1,0.10000000000000009
83,Hyperdimension Neptunia Re;Birth2: Sisters Generation,3.99,4.45,0.45999999999999996
84,Tales of Nebezem: Elemental Link,1.99,2.0,0.010000000000000009
85,Tempest: Pirate Action RPG,1.44,1.45,0.010000000000000009
86,Persian Nights: Sands of Wonders,4.49,4.99,0.5
87,Samsara,7.99,8.0,0.009999999999999787
88,Twilight Struggle,1.9,1.95,0.050000000000000044
89,Star Story: The Horizon Escape,3.0,5.0,2.0
90,Love Letter,1.5,1.55,0.050000000000000044
91,Drowning,3.99,4.0,0.009999999999999787
92,Abyss Odyssey,2.65,2.68,0.03000000000000025
93,Aurion: Legacy of the Kori-Odan,0.8,1.0,0.19999999999999996
94,Endless Space,12.99,15.0,2.01
95,Tower Unite,10.0,15.99,5.99
96,The Journey Down: Chapter Two,0.5,0.5,0.0
97,Crusader Kings II,8.98,8.99,0.009999999999999787
98,Mount & Blade,4.98,4.99,0.009999999999999787
99,Magicka,7.44,7.45,0.009999999999999787
100,Zombie Army Trilogy,11.75,11.9,0.15000000000000036
101,Late Shift,2.5,2.5,0.0
102,The First Tree,3.0,3.14,0.14000000000000012
103,LEGO Batman 3: Beyond Gotham,7.19,7.2,0.009999999999999787
104,Batman: Arkham Asylum Game of the Year Edition,11.99,12.0,0.009999999999999787
105,LEGO Batman 2 DC Super Heroes,4.0,4.25,0.25
106,LEGO Batman,1.89,1.9,0.010000000000000009
107,Pony Island,0.98,1.0,0.020000000000000018
108,POSTAL,0.84,0.85,0.010000000000000009
109,Star Wars The Force Unleashed: Ultimate Sith Edition,7.85,8.0,0.15000000000000036
110,Snow White Solitaire. Charmed Kingdom,3.4,3.45,0.050000000000000266
111,Sniper: Ghost Warrior Trilogy,2.35,2.38,0.029999999999999805
112,Paradigm,1.0,1.0,0.0
113,Sins of a Solar Empire: Rebellion,3.4,3.45,0.050000000000000266
114,Castlevania: Lords of Shadow - Mirror of Fate HD,3.35,3.4,0.04999999999999982
115,Middle-earth: Shadow of Mordor Game of the Year Edition,9.99,10.49,0.5
116,Dex,5.0,7.0,2.0
117,BioShock Infinite,15.99,18.9,2.9099999999999984
118,Warlords Awakening,5.0,5.89,0.8899999999999997
119,Smoke and Sacrifice,10.31,12.81,2.5
120,Salty Seabird Bay,0.99,1.0,0.010000000000000009
121,Flockers,7.8,7.9,0.10000000000000053
122,Handball Manager - TEAM,1.0,1.25,0.25
123,Stones of Yalmrith,1.0,1.45,0.44999999999999996
124,Owari,0.7,1.0,0.30000000000000004
125,Jolly Battle,1.0,2.0,1.0
126,Temporal Storm X: Hyperspace Dream,1.0,1.99,0.99
127,Bleeding Knife,0.9,0.95,0.04999999999999993
128,Venal Soul (Chapter One),0.9,0.94,0.039999999999999925
129,The Basilisk,0.9,0.98,0.07999999999999996
130,CubeRun,0.7,0.99,0.29000000000000004
131,Mysterium,1.6,1.69,0.08999999999999986
132,Worms Crazy Golf,1.7,2.0,0.30000000000000004
133,Hentai Puzzle,0.59,0.9,0.31000000000000005
134,Chronology,1.99,2.0,0.010000000000000009
135,Xenonauts,9.99,12.0,2.01
136,Scanner Sombre,1.0,1.0,0.0
137,Puzzle Chronicles,0.9,0.98,0.07999999999999996
138,Project CARS,11.1,11.11,0.009999999999999787
139,Subterrain,1.0,1.0,0.0
140,Chaos Reborn,1.0,1.5,0.5
141,Mega Man Legacy Collection / ロックマン クラシックス コレクション,2.0,2.0,0.0
142,The Last Leviathan,1.64,1.65,0.010000000000000009
143,Western Press,0.94,1.0,0.06000000000000005
144,Holy Potatoes! We're in Space?!,1.0,1.2,0.19999999999999996
145,Nongünz,0.5,0.5,0.0
146,Flat Heroes,0.5,0.5,0.0
147,The Red Solstice,0.5,0.5,0.0
148,GALAK-Z,0.5,0.5,0.0
149,Supreme Commander Gold Edition,14.99,15.0,0.009999999999999787
150,Zeno Clash,4.29,4.3,0.009999999999999787
151,Star Wars Empire at War: Gold Pack,29.89,29.9,0.00999999999999801
152,Star Wars Jedi Knight: Dark Forces II,9.99,10.0,0.009999999999999787
153,Sid Meier's Civilization V,23.99,24.0,0.010000000000001563
154,The Last Express Gold Edition,1.24,1.25,0.010000000000000009
155,Element: Space,7.99,8.99,1.0
156,Tales,6.99,8.99,2.0
157,Morphite,7.99,8.98,0.9900000000000002
158,仙劍奇俠傳六 (Chinese Paladin：Sword and Fairy 6),10.5,11.0,0.5
159,Scribblenauts Unlimited,1.9,2.0,0.10000000000000009
160,STAR WARS THE FORCE UNLEASHED II,30.0,35.5,5.5
161,Worms Armageddon,9.94,9.95,0.009999999999999787
162,Hitman 2: Silent Assassin,8.5,8.6,0.09999999999999964
163,Human: Fall Flat,19.99,20.0,0.010000000000001563
164,Port Royale 3: Dawn of Pirates DLC,1.3,1.5,0.19999999999999996
165,Euro Truck Simulator 2,21.99,22.0,0.010000000000001563
166,Empire: Total War,19.4,19.5,0.10000000000000142
167,METAL GEAR SOLID V: THE PHANTOM PAIN,15.0,18.5,3.5
168,Project CARS 2,40.0,41.74,1.740000000000002
169,Sheltered,5.99,6.0,0.009999999999999787
170,Sniper Elite 3,9.99,10.0,0.009999999999999787
171,Steel Rats,0.8,0.89,0.08999999999999997
172,Tomb Raider: Legend,6.8,6.9,0.10000000000000053
173,Pang Adventures,0.5,0.6,0.09999999999999998
174,League of Evil,0.5,1.0,0.5
175,Bomber Crew,9.7,9.94,0.2400000000000002
176,Saints Row 2,1.85,1.9,0.04999999999999982
177,L.A. Noire,24.48,24.49,0.00999999999999801
178,L.S.S,0.86,0.87,0.010000000000000009
179,Deadlings - Rotten Edition,2.33,2.34,0.009999999999999787
180,光之迷城 / Dawn of the Lost Castle,3.6,3.98,0.3799999999999999
181,American Truck Simulator,8.0,8.5,0.5
182,Q.U.B.E. 2,1.78,1.93,0.1499999999999999
183,Cally's Caves 3,0.5,0.5,0.0
184,The Town of Light,2.5,2.5,0.0
185,NecrovisioN: Lost Company,0.69,0.7,0.010000000000000009
186,Worms Blast,0.6,1.5,0.9
187,Daemon_9,1.7,1.98,0.28
188,Alien: Isolation,37.0,39.9,2.8999999999999986
189,Sonic Adventure 2,0.5,0.5,0.0
190,JYDGE,4.5,4.9,0.40000000000000036
191,Call of Duty: Infinite Warfare,21.4,21.5,0.10000000000000142
192,Zenith,13.9,13.99,0.08999999999999986
193,Jotun: Valhalla Edition,6.98,6.99,0.009999999999999787
194,Dungeon Rats,4.19,4.2,0.009999999999999787
195,Earth Atlantis,4.1,4.2,0.10000000000000053
196,Secret Agent,0.65,1.0,0.35
197,Unbox: Newbie's Adventure,0.7,0.75,0.050000000000000044
198,THE KING OF FIGHTERS XIII,0.9,0.99,0.08999999999999997
199,Little Nightmares,6.5,7.0,0.5
200,Dear Esther: Landmark Edition,3.0,3.49,0.4900000000000002
201,Battle Chef Brigade,2.3,2.8,0.5
202,11-11 Memories Retold,7.0,7.99,0.9900000000000002
203,Tannenberg,4.0,4.48,0.4800000000000004
204,Minit,0.95,0.97,0.020000000000000018
205,Silence,4.9,4.95,0.04999999999999982
206,JASEM: Just Another Shooter with Electronic Music,0.98,1.0,0.020000000000000018
207,Syndrome,5.99,6.35,0.35999999999999943
208,ARMA 2: Operation Arrowhead,5.99,6.25,0.2599999999999998
209,Steel Division: Normandy 44,27.27,27.41,0.14000000000000057
210,Scythe: Digital Edition,27.9,27.99,0.08999999999999986
211,RiME,13.6,14.9,1.3000000000000007
212,Pathfinder Adventures,8.9,8.99,0.08999999999999986
213,Clinically Dead,1.99,2.2,0.2100000000000002
214,Warhammer: Vermintide 2 - Collector's Edition,30.0,35.0,5.0
215,Hearts of Iron III Collection,2.4,2.49,0.0900000000000003
216,Dear Esther,5.87,9.0,3.13
217,Worms,1.49,1.5,0.010000000000000009
218,Age of Wonders II: The Wizard's Throne,1.35,1.44,0.08999999999999986
219,The Final Station,4.96,4.99,0.03000000000000025
220,HoPiKo,0.69,0.7,0.010000000000000009
221,The Turing Test,8.0,9.85,1.8499999999999996
222,Rise & Shine,2.5,2.89,0.3900000000000001
223,Age of Wonders III,8.0,8.1,0.09999999999999964
224,The Last Dawn : The first invasion,0.5,0.5,0.0
225,Darkest Hour: A Hearts of Iron Game,1.49,1.5,0.010000000000000009
226,Frozen Synapse Prime,0.5,0.85,0.35
227,Age of Wonders III - Deluxe Edition DLC,2.65,2.7,0.050000000000000266
228,PAC-MAN Championship Edition DX+,1.85,1.89,0.039999999999999813
229,Oxenfree,2.2,2.45,0.25
230,Glass Masquerade,1.2,4.26,3.0599999999999996
231,Sparkle Unleashed,1.8,2.65,0.8499999999999999
232,The lost joystick,3.0,35.0,32.0
233,Hotline Miami 2: Wrong Number,10.99,11.0,0.009999999999999787
234,ADR1FT,3.99,6.99,3.0
235,X-Blades,0.84,0.85,0.010000000000000009
236,Toybox Turbos,0.89,0.9,0.010000000000000009
237,ReThink,4.99,5.0,0.009999999999999787
238,Zombie Driver HD Complete Edition,3.95,4.0,0.04999999999999982
239,Oddworld: Abe's Oddysee,2.45,2.48,0.029999999999999805
240,Tank Operations: European Campaign,8.4,8.49,0.08999999999999986
241,Peregrin,3.0,3.25,0.25
242,NiGHTS Into Dreams,3.49,3.5,0.009999999999999787
243,Timber! The Logging Experts,2.99,3.74,0.75
244,Skeletal Dance Party,6.5,6.74,0.2400000000000002
245,Cultist Simulator,6.9,7.0,0.09999999999999964
246,Train Mechanic Simulator 2017,6.4,6.41,0.009999999999999787
247,Port Royale 3,6.39,6.4,0.010000000000000675
248,Skullgirls 2nd Encore Upgrade,6.89,8.89,2.000000000000001
249,Atlantis: Pearls of the Deep,3.99,4.5,0.5099999999999998
250,Jump To Die!!,3.99,4.99,1.0
251,Tropico Trilogy,6.59,6.6,0.009999999999999787
252,Demolish & Build 2017,3.96,3.97,0.010000000000000231
253,Giant Machines 2017,4.11,4.12,0.009999999999999787
254,Supreme League of Patriots - Episode 2: Patriot Frames,1.0,3.94,2.94
255,Thugs Law,2.0,2.5,0.5
256,Super Ledgehop: Double Laser,1.5,2.0,0.5
257,ChemCaper: Act I - Petticles in Peril,4.5,5.0,0.5
258,Alien Hallway,0.6,0.72,0.12
259,Aaero,0.75,0.88,0.13
260,White Night,4.9,5.0,0.09999999999999964
261,Mutiny!!,2.45,2.9,0.44999999999999973
262,LEGO Harry Potter: Years 5-7,7.49,7.98,0.4900000000000002
263,LEGO Harry Potter: Years 1-4,2.49,2.5,0.009999999999999787
264,Full Metal Furies,2.5,3.0,0.5
265,BlowOut,2.5,4.0,1.5
266,Super Daryl Deluxe,0.5,0.5,0.0
267,The Low Road,3.95,4.39,0.4399999999999995
268,Dandara,0.5,0.5,0.0
269,Sniper Elite,0.5,0.89,0.39
270,Lara Croft GO,1.98,1.99,0.010000000000000009
271,Jump Gunners,8.0,10.0,2.0
272,Fight'N Rage,0.7,0.7,0.0
273,We Were Here Too,5.5,8.0,2.5
274,Pathfinder Adventures - Obsidian Edition,12.89,12.9,0.009999999999999787
275,Rage Against The Zombies,2.99,3.9,0.9099999999999997
276,Escape Doodland,2.09,2.2,0.11000000000000032
277,Rock of Ages 2: Bigger & Boulder,5.8,5.9,0.10000000000000053
278,Star Wars Jedi Knight II: Jedi Outcast,3.49,3.5,0.009999999999999787
279,RPG Maker VX Ace - POP!: Horror City,7.74,7.75,0.009999999999999787
280,Evoland 2,5.96,6.0,0.040000000000000036
281,HITMAN: THE COMPLETE FIRST SEASON,24.99,25.74,0.75
282,Murder Mystery Adventure,0.5,0.87,0.37
283,12 is Better Than 6,2.0,2.1,0.10000000000000009
284,Wizardry 6 and 7,0.5,0.5,0.0
285,Through the Woods,5.5,6.0,0.5
286,Joggernauts,1.3,1.39,0.08999999999999986
287,SmuggleCraft,2.4,2.49,0.0900000000000003
288,Just Cause 3,14.99,15.0,0.009999999999999787
289,Speed Kills,1.99,2.0,0.010000000000000009
290,Mutant Year Zero: Road to Eden,35.0,38.5,3.5
291,Dispatcher,1.8,3.5,1.7
292,Hollow Knight,29.5,29.9,0.3999999999999986
293,Fate Tectonics,1.3,1.35,0.050000000000000044
294,Outlast,6.0,7.0,1.0
295,Reprisal Universe,1.5,2.35,0.8500000000000001
296,Gal-X-E,0.9,0.99,0.08999999999999997
297,Day D: Tower Rush,0.9,1.0,0.09999999999999998
298,Max Stern,0.9,1.0,0.09999999999999998
299,Itineris,0.9,1.0,0.09999999999999998
300,Suicide Guy: Sleepin' Deeply,2.5,2.99,0.4900000000000002
301,Plantera,0.9,1.0,0.09999999999999998
302,Jelly Killer,0.9,1.0,0.09999999999999998
303,LEGO City Undercover,16.0,18.4,2.3999999999999986
304,Fjong,0.9,1.0,0.09999999999999998
305,Luke Sidewalker,0.9,1.0,0.09999999999999998
306,There's Poop In My Soup,0.9,1.95,1.0499999999999998
307,Jellyfish,0.9,1.0,0.09999999999999998
308,She Remembered Caterpillars,0.5,0.5,0.0
309,Artania,0.9,1.0,0.09999999999999998
310,Hover,1.47,1.49,0.020000000000000018
311,Northgard,39.99,39.99,0.0
312,Zanzarah: The Hidden Portal,0.5,0.5,0.0
313,Grand Theft Auto: San Andreas,29.99,30.0,0.010000000000001563
314,Shadows on the Vatican Act I: Greed,0.99,1.0,0.010000000000000009
315,Bloodbath Kavkaz,1.29,1.3,0.010000000000000009
316,Remnants of a Beautiful Day,0.87,0.88,0.010000000000000009
317,A Hat in Time,37.98,37.99,0.010000000000005116
318,SEUM: Speedrunners from Hell,0.8,0.84,0.039999999999999925
319,Luxor HD,1.37,1.38,0.009999999999999787
320,JQ: countries,0.89,0.9,0.010000000000000009
321,Suna,0.99,1.0,0.010000000000000009
322,DARK SOULS II: Scholar of the First Sin,34.99,40.0,5.009999999999998
323,JQ: dogs & cats,0.85,0.89,0.040000000000000036
324,Envoy 2,1.4,1.48,0.08000000000000007
325,Earthworms,2.8,2.85,0.050000000000000266
326,XBall Champion,0.5,0.5,0.0
327,Jumping Tank,0.5,0.5,0.0
328,Knights and Merchants,1.12,1.13,0.009999999999999787
329,Super Hardcore,0.8,1.0,0.19999999999999996
330,PAYDAY 2: John Wick Weapon Pack,2.97,2.98,0.009999999999999787
331,Arma 3 Karts,0.94,0.95,0.010000000000000009
332,ARMA 2: Army of the Czech Republic,0.86,0.87,0.010000000000000009
333,Homeworld Remastered Collection,13.98,13.99,0.009999999999999787
